date,geo,title,event
2023,"Berlin, Germany","»Gestaltungsziel: kritische Reflexion. Digitale Vermittlung und datenbasierte Interaktionen aus der Perspektive der Human-Computer Collaboration«","Roundtable Discussion »Digital Storytelling in Classical Studies«, Freie Universität Berlin"
2023,"Los Angeles, USA","»Collection Technologies between Continuity and Transformation«","Getty Research Institute"
2023,"Virtual event","»Computer Vision und Kunstgeschichte: Überlegungen zu einer nachhaltigen Zusammenarbeit«","Digitaltag Kunstgeschichte 2023: Nachhaltigkeit, Deutscher Verband für Kunstgeschichte e.V., Ulmer Verein - Verband für Kunst- und Kulturwissenschaften e.V. und Arbeitskreis Digitale Kunstgeschichte"
2022,"Aachen, Germany","»Alter Kanon, neuer Bias. Machine Learning und Wissensrepräsentation in Museen«","Training the Archive Conference on »Art and Algorithms«. Ludwig Forum Aachen"
2022,"Berlin, Germany",»Wer dient hier wem? Voraussetzungen für kritisch-reflexive Human-AI Collaboration«,"Digital * Humanities im Gespräch, Freie Universität Berlin"
2021,"Halle/Saale, Germany (virtual event)",»Visitor-Oriented Design Research. Interaktion und Partizipation methodisch gestalten«,"HoloLab #2 - Digitale Ideenwerkstätten im Programm dive in. Kulturstiftung des Bundes"
2020,"Berlin, Germany (virtual event)",»Strukturen von Ähnlichkeit - Repräsentation und Verweis in digitalen Sammlungen«,"Hermann von Helmholtz-Zentrum für Kulturtechnik. Humboldt-Universität zu Berlin"
2020,"Halle/Saale, Germany (virtual event)",»Wir müssen reden: interdisziplinäre Zusammenarbeit in Digitalprojekten«,"Digital Lab #1 - Akademie im Fonds Digital. Kulturstiftung des Bundes"
2020,"Basel, Switzerland (virtual event)","Online-Talk »Wissensort Museum?«","Panel with Régine Bonnefoit, Sonja Gasser, Katrin Glinka and Bernd M. Scherer. Kunstmuseum Basel"
2020,"Svolvær, Norway (virtual event)",»Imagining the Future: one Project at a time«,"Future Digital Possibilities, CINE TALKS: See the Past - Imagine the Future"
2020,"Berlin, Germany (virtual event)",»Gaze-Based Interaction and Object-Centred Learning in Mixed Reality: a Museum Case Study«,"What is the Digital Doing? A Workshop in the Interface. EXC 2020: Temporal Communities"
2020,"Stockholm, Sweden (virtual event)",»Digital Technologies in Museums: A Field of Interdisciplinary Research«,"DIGARV Seminar: Digital Tools & Methods"
2020,"Jakarta, Indonesia (virtual event)",Keynote: »The Future of Open GLAM«,"Goethe-Institut Indonesien: Festival Retas Budaya"
2020,"Düsseldorf & Ulm, Germany (virtual event)",»GLAMs im digitalen Wandel - Barbara K. Fischer & Katrin Glinka im Gespräch«,"nextmuseum.io"
2020,"Bologna, Italy (virtual event)",»Visual Representations of Thought: on Museum Displays and Visualization Interfaces«,"9th International Conference of the European Society for the History of Science (ESHS)"
2019,"Berlin, Germany","»Anwendungen und Perspektiven der digitalen Geschichtsvermittlung«, Panel-Talk together with Meike Rosenplänter (Deutschlandfunk Nova) and Prof. Dr. Christian Bunnenberg (Public History), on the occasion of the event »20 Jahre Lebendiges Museum Online (LeMO)«",Deutsches Historisches Museum and Stiftung Haus der Geschichte der Bundesrepublik Deutschland 
2019,"Heidelberg, Germany",»Visualisation Critique and Critical Visualisations«,"Heidelberg Computational Humanities Summer School, Universität Heidelberg"
2019,"Berlin, Germany",»Nicht in Stein gemeißelt - Museen im digitalen Wandel«,"re:publica19, Berlin"
2019,"Berlin, Germany",»Potenziale von Datenvisualisierung für die geisteswissenschaftliche Forschung und Vermittlung«,"Digital * Humanities im Gespräch #4, Freie Universität Berlin"
2018,"Berlin, Germany","»Schnittstellen, Austausch, Prozesse - Offenheit als Fundament von Innovation«","Konferenz zur digitalen Entwicklung des Kulturbereichs. Technologiestiftung Berlin, Senatsverwaltung für Kultur und Europa"
2017,"Washington DC, USA",»Visualisation as a means for museum education and mediation«,"Smithsonian Institution, Washington DC"
2015,"Munich, Germany",»Visualisierung kultureller Sammlungen - Exploration und Vermittlung von digitalisierten Beständen«,"Lecture series »Digitale Kunstgeschichte« at the Institute of Art History, Ludwig-Maximilians-Universität"
2015,"Newcastle, UK",»Re-thinking Museum Display in the digital Realm. Critical Approaches in Collection Interfaces and Visualisations«,"Open Lab, Newcastle University"
